campaignid,startdate,enddate,channel,impressions,clicks,leads,conversions,cost_usd,revenue_usd,roi,campaign_duration,profit,roas,profit_margin,ctr,lead_conversion_rate,customer_conversion_rate,cpc,cpl,cpa,start_year,start_month,start_month_name,quarter,weekday
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,1.12,6,1183.6299999999999,2.12,52.93,7.95,49.9,46.29,0.05,0.09,0.2,2025,4,April,2,Sunday
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,1.96,9,7775.25,2.96,66.23,7.91,41.67,37.84,0.25,0.6,1.59,2025,12,December,4,Monday
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,0.9,8,901.85,1.9,47.41,6.88,48.81,42.24,0.06,0.12,0.29,2025,9,September,3,Sunday
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,0.76,13,957.1099999999997,1.76,43.31,1.71,37.95,33.73,0.47,1.24,3.66,2025,4,April,2,Thursday
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,1.86,9,9175.83,2.86,65.02,1.46,36.61,37.15,1.19,3.24,8.74,2025,3,March,1,Thursday
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,0.1,13,345.5999999999999,1.1,8.89,4.5,40.49,44.75,0.44,1.1,2.45,2025,7,July,3,Tuesday
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,0.65,15,1306.84,1.65,39.52,1.24,17.55,28.23,0.93,5.28,18.69,2025,1,January,1,Tuesday
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,0.89,13,3365.1800000000003,1.89,47.01,9.14,42.23,25.35,0.18,0.42,1.65,2025,4,April,2,Sunday
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,0.17,6,414.8100000000004,1.17,14.81,1.18,48.79,57.75,0.96,1.98,3.42,2025,5,May,2,Friday
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,1.03,13,1181.1200000000001,2.03,50.84,1.27,34.44,29.46,0.46,1.34,4.55,2025,8,August,3,Sunday
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,0.75,7,1869.81,1.75,42.88,2.49,10.42,39.29,1.85,17.79,45.29,2025,11,November,4,Thursday
